niveau;nom;province_de_rattachement
commune;Commune de Bni Darkoul;Cercle de Bab Taza
commune;Commune de Bni Faghloum;Cercle de Bab Taza
commune;Commune de Bni Garfett;Cercle de Moulay Abdeslem-Ben M'chich
commune;Commune de Bni Gmil;Cercle de Bni Boufrah
commune;Commune de Bni Gmil Maksouline;Cercle de Bni Boufrah
commune;Commune de Bni Hadifa;Cercle de Bni Ouriaghel Gharbia
commune;Commune de Bni Harchen;Cercle de Jebala
commune;Commune de Bni Idder;Cercle de Jebala
commune;Commune de Bni Leit;Cercle de Tétouan
commune;Commune de Bni Mansour;Cercle d'Assifane
commune;Commune de Bni Quolla;Cercle d'Ouezzane
commune;Commune de Bni Rzine;Cercle de Jebha
commune;Commune de Bni Said;Cercle de Tétouan
commune;Commune de Bni Salah;Cercle de Bab Taza
commune;Commune de Bni Selmane;Cercle d'Assifane
commune;Commune de Bni Smih;Cercle de Jebha
commune;Commune de Boujedyane;Cercle de Loukouss
commune;Commune de Brikcha;Cercle de Moqrissat
commune;Commune de Chakrane;Cercle de Bni Ouriaghel Charqia
commune;Commune de Chefchaouen;Chefchaouen
commune;Commune de Dar Bni Karrich;Cercle de Tétouan
commune;Commune de Dar Chaoui;Cercle de Tanger
commune;Commune de Derdara;Cercle de Bab Taza
commune;Commune de Fifi;Cercle de Bab Taza
commune;Commune de Fnideq;M'diq-Fnideq
commune;Commune de Gueznaia;Tanger-Assilah
commune;Commune de Had Al Gharbia;Cercle d'Assilah
commune;Commune de Hjar Ennhal;Cercle de Tanger
commune;Commune de Jbel Lahbib;Cercle de Jebala
commune;Commune de Jouamaa;Cercle d'Anjra
commune;Commune de Kalaat Bouqorra;Cercle de Zoumi
commune;Commune de Ketama;Cercle de Ketama
commune;Commune de Ksar Bjir;Cercle de Loukouss
commune;Commune de Ksar El Kebir;Larache
commune;Commune de Ksar El Majaz;Cercle d'Anjra
commune;Commune de Ksar Sghir;Cercle de Fahs
commune;Commune de Laaouama;Cercle de Tanger
commune;Commune de Laghdir;Cercle de Bab Taza
commune;Commune de Lamjaara;Cercle d'Al Ouahda
commune;Commune de Laouamra;Cercle de Loukouss
commune;Commune de Larache;Larache
commune;Commune de Louta;Cercle de Bni Ouriaghel Charqia
commune;Commune de M'diq;M'diq-Fnideq
commune;Commune de M'tioua;Cercle de Jebha
commune;Commune de Mallalienne;Cercle de Jebala
commune;Commune de Malloussa;Cercle de Fahs
commune;Commune de Mansoura;Cercle de Bni Ahmed
commune;Commune de Martil;M'diq-Fnideq
commune;Commune de Masmouda;Cercle d'Ouezzane
commune;Commune de Moqrissat;Cercle de Moqrissat
commune;Commune de Moulay Ahmed Cherif;Cercle de Ketama
commune;Commune de Mzefroune;Cercle d'Ouezzane
commune;Commune de Nekkour;Cercle de Bni Ouriaghel Charqia
commune;Commune de Rissana Chamalia;Cercle d'Oued El Makhazine
commune;Commune de Rissana Janoubia;Cercle d'Oued El Makhazine
commune;Commune de Rouadi;Cercle de Bni Ouriaghel Gharbia
commune;Commune de Saddina;Cercle de Jebala
commune;Commune de Sahel;Cercle d'Oued El Makhazine
commune;Commune de Sahel Chamali;Cercle d'Assilah
commune;Commune de Sahtryine;Cercle de Jebala
commune;Commune de Sebt Azzinate;Cercle de Tanger
commune;Commune de Senada;Cercle de Bni Boufrah
commune;Commune de Sidi Ahmed Cherif;Cercle d'Al Ouahda
commune;Commune de Sidi Bousber;Cercle d'Al Ouahda
commune;Commune de Sidi Boutmim;Cercle de Targuist
commune;Commune de Sidi Bouzineb;Cercle de Targuist
commune;Commune de Sidi Lyamani;Cercle d'Assilah
commune;Commune de Sidi Redouane;Cercle d'Ouezzane
commune;Commune de Souaken;Cercle d'Oued El Makhazine
commune;Commune de Souk Kdim;Cercle de Jebala
commune;Commune de Souk L'qolla;Cercle de Loukouss
commune;Commune de Souk Tolba;Cercle d'Oued El Makhazine
commune;Commune de Steha;Cercle de Bou Ahmed
commune;Commune de Taghramt;Cercle d'Anjra
commune;Commune de Taghzout;Cercle de Ketama
commune;Commune de Talambote;Cercle de Bou Ahmed
commune;Commune de Tamorot;Cercle de Bab Berred
commune;Commune de Tamsaout;Cercle de Ketama
commune;Commune de Tanaqoub;Cercle de Bab Taza
commune;Commune de Tanger;Tanger-Assilah
commune;Commune de Targuist;Al Hoceima
commune;Commune de Tassift;Cercle de Bou Ahmed
commune;Commune de Tatoft;Cercle de Loukouss
commune;Commune de Tazroute;Cercle de Moulay Abdeslem-Ben M'chich
commune;Commune de Teroual;Cercle d'Al Ouahda
commune;Commune de Tifarouine;Cercle de Bni Ouriaghel Charqia
commune;Commune de Tizgane;Cercle de Bou Ahmed
commune;Commune de Tétouan;Tétouan
commune;Commune de Zaaroura;Cercle de Moulay Abdeslem-Ben M'chich
commune;Commune de Zaitoune;Cercle de Tétouan
commune;Commune de Zaouiat Sidi Abdelkader;Cercle de Bni Ouriaghel Gharbia
commune;Commune de Zaouiat Sidi Kacem;Cercle de Tétouan
commune;Commune de Zarkt;Cercle de Targuist
commune;Commune de Zghira;Cercle d'Al Ouahda
commune;Commune de Zinat;Cercle de Tétouan
commune;Commune de Zouada;Cercle de Loukouss
commune;Commune de Zoumi;Cercle de Zoumi
prefecture_province;Al Hoceima;Tanger-Tétouan-Al Hoceïma
prefecture_province;Chefchaouen;Tanger-Tétouan-Al Hoceïma
prefecture_province;Fahs-Anjra;Tanger-Tétouan-Al Hoceïma
prefecture_province;Larache;Tanger-Tétouan-Al Hoceïma
prefecture_province;M'diq-Fnideq;Tanger-Tétouan-Al Hoceïma
prefecture_province;Ouezzane;Tanger-Tétouan-Al Hoceïma
prefecture_province;Tanger-Assilah;Tanger-Tétouan-Al Hoceïma
prefecture_province;Tétouan;Tanger-Tétouan-Al Hoceïma
