indicateur_id,nom_indicateur,nom_origine,theme,definition,unite,source,annee,statut,table_pg,mode_stockage,colonne_valeur,filtre_indicateur,colonne_territoire,libelle_court,secteur
11,La base de donn es excel de la migration — sorties,sorties,demography,"La base de donn es excel de la migration — sorties. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",nombre,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration_,long,valeur,sorties,territoire_id,Sorties migratoires (durée de vie),Démographie
12,La base de donn es excel de la migration 2 — entrees,entrees,demography,"La base de donn es excel de la migration 2 — entrees. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",nombre,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,entrees,territoire_id,Entrées migratoires (5 dernières années),Démographie
13,La base de donn es excel de la migration 2 — indice_entrees (%),indice_entrees (%),demography,"La base de donn es excel de la migration 2 — indice_entrees (%). Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",%,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,indice_entrees (%),territoire_id,Indice d'entrées migratoires (5 ans),Démographie
14,La base de donn es excel de la migration 2 — indice_sortie (%),indice_sortie (%),demography,"La base de donn es excel de la migration 2 — indice_sortie (%). Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",%,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,indice_sortie (%),territoire_id,Indice de sorties migratoires (5 ans),Démographie
15,La base de donn es excel de la migration 2 — natifs_residents_non_migrants,natifs_residents_non_migrants,demography,"La base de donn es excel de la migration 2 — natifs_residents_non_migrants. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",hab,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,natifs_residents_non_migrants,territoire_id,Résidents non migrants (5 ans),Démographie
16,population_sedentaire_5ans_plus,population_sedentaire_5ans_plus,demography,"population_sedentaire_5ans_plus. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",hab,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,population_sedentaire_5ans_plus,territoire_id,Population sédentaire de 5 ans et plus,Démographie
17,residents_recents_5ans,residents_recents_5ans,demography,"residents_recents_5ans. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",hab,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,residents_recents_5ans,territoire_id,Résidents installés depuis moins de 5 ans,Démographie
18,La base de donn es excel de la migration 2 — sorties,sorties,demography,"La base de donn es excel de la migration 2 — sorties. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",nombre,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,sorties,territoire_id,Sorties migratoires (5 dernières années),Démographie
19,La base de donn es excel de la migration 3 — entrees,entrees,demography,"La base de donn es excel de la migration 3 — entrees. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",nombre,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,entrees,territoire_id,Entrées migratoires (10 dernières années),Démographie
20,La base de donn es excel de la migration 3 — indice_entrees (%),indice_entrees (%),demography,"La base de donn es excel de la migration 3 — indice_entrees (%). Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",%,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,indice_entrees (%),territoire_id,Indice d'entrées migratoires (10 ans),Démographie
21,La base de donn es excel de la migration 3 — indice_sortie (%),indice_sortie (%),demography,"La base de donn es excel de la migration 3 — indice_sortie (%). Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",%,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,indice_sortie (%),territoire_id,Indice de sorties migratoires (10 ans),Démographie
22,La base de donn es excel de la migration 3 — natifs_residents_non_migrants,natifs_residents_non_migrants,demography,"La base de donn es excel de la migration 3 — natifs_residents_non_migrants. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",hab,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,natifs_residents_non_migrants,territoire_id,Résidents non migrants (10 ans),Démographie
23,La base de donn es excel de la migration 3 — population_sedentaire,population_sedentaire,demography,"La base de donn es excel de la migration 3 — population_sedentaire. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",hab,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,population_sedentaire,territoire_id,Population sédentaire (référence 10 ans),Démographie
24,residents_recents_10ans,residents_recents_10ans,demography,"residents_recents_10ans. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",hab,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,residents_recents_10ans,territoire_id,Résidents installés depuis moins de 10 ans,Démographie
25,La base de donn es excel de la migration 3 — sorties,sorties,demography,"La base de donn es excel de la migration 3 — sorties. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",nombre,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,sorties,territoire_id,Sorties migratoires (10 dernières années),Démographie
26,effectif_migrants_internationaux,effectif_migrants_internationaux,demography,"effectif_migrants_internationaux. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",nombre,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__4,long,valeur,effectif_migrants_internationaux,territoire_id,Migrants internationaux,Démographie
27,Ages mariage handicap — Descendance finale des femmes,Descendance finale des femmes,demography,Ages mariage handicap — Descendance finale des femmes. Thème : demography. [Traçabilité : source RGPH 2024.],,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_ages_mariage_handicap,long,valeur,Descendance finale des femmes,territoire_id,Ages mariage handicap — Descendance finale des femmes,non cartographiable
28,Indice Synthétique de fécondité,Indice Synthétique de fécondité,demography,Indice Synthétique de fécondité. Thème : demography. [Traçabilité : source RGPH 2024.],,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_ages_mariage_handicap,long,valeur,Indice Synthétique de fécondité,territoire_id,Indice Synthétique de fécondité,non cartographiable
29,Ages mariage handicap — Population de 15 ans et plus,Population de 15 ans et plus,demography,Ages mariage handicap — Population de 15 ans et plus. Thème : demography. [Traçabilité : source RGPH 2024.],hab,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_ages_mariage_handicap,long,valeur,Population de 15 ans et plus,territoire_id,Ages mariage handicap — Population de 15 ans et plus,non cartographiable
30,Taux de couverture médicale (%),Taux de couverture médicale (%),demography,Taux de couverture médicale (%). Thème : demography. [Traçabilité : source RGPH 2024.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_ages_mariage_handicap,long,valeur,Taux de couverture médicale (%),territoire_id,Taux de couverture médicale,non cartographiable
32,Taux de prévalence du handicap par groupes d'âges (%),Taux de prévalence du handicap par groupes d'âges (%),demography,Taux de prévalence du handicap par groupes d'âges (%). Thème : demography. [Traçabilité : source RGPH 2024.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_ages_mariage_handicap,long,valeur,Taux de prévalence du handicap par groupes d'âges (%),territoire_id,Taux de prévalence du handicap par groupes d'âges,non cartographiable
33,Âge moyen au premier mariage,Âge moyen au premier mariage,demography,Âge moyen au premier mariage. Thème : demography. [Traçabilité : source RGPH 2024.],,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_ages_mariage_handicap,long,valeur,Âge moyen au premier mariage,territoire_id,Âge moyen au premier mariage,non cartographiable
34,État matrimonial des 15 ans et plus (%),État matrimonial des 15 ans et plus (%),demography,État matrimonial des 15 ans et plus (%). Thème : demography. [Traçabilité : source RGPH 2024.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_ages_mariage_handicap,long,valeur,État matrimonial des 15 ans et plus (%),territoire_id,État matrimonial des 15 ans et plus,non cartographiable
35,Population rgph2024 population demogra — Descendance finale des femmes,Descendance finale des femmes,demography,Population rgph2024 population demogra — Descendance finale des femmes. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],enfants/femme,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Descendance finale des femmes,territoire_id,Descendance finale des femmes,Démographie
36,Indicateur conjoncturel de fécondité,Indicateur conjoncturel de fécondité,demography,Indicateur conjoncturel de fécondité. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],enfants/femme,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Indicateur conjoncturel de fécondité,territoire_id,Indicateur conjoncturel de fécondité,Démographie
37,Population rgph2024 population demogra — Population de 10 ans et plus,Population de 10 ans et plus,demography,Population rgph2024 population demogra — Population de 10 ans et plus. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],hab,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Population de 10 ans et plus,territoire_id,Population de 10 ans et plus,Démographie
38,Population rgph2024 population demogra — Population de 15 ans et plus,Population de 15 ans et plus,demography,Population rgph2024 population demogra — Population de 15 ans et plus. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],hab,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Population de 15 ans et plus,territoire_id,Population de 15 ans et plus,Démographie
39,Population rgph2024 population demogra — Population de 7-12 ans,Population de 7-12 ans,demography,Population rgph2024 population demogra — Population de 7-12 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],hab,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Population de 7-12 ans,territoire_id,Population de 7 à 12 ans,Démographie
40,Population légale,Population légale,demography,Population légale. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],hab,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,validé,demography_demography_population_rgph2024_population_demogra,long,valeur,Population légale,territoire_id,Population légale,Démographie
41,Population municipale,Population municipale,demography,Population municipale. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],hab,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Population municipale,territoire_id,Population municipale,Démographie
42,Sexe (%) - Féminin,Sexe (%) - Féminin,demography,Sexe (%) - Féminin. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Sexe (%) - Féminin,territoire_id,Sexe — Féminin,Démographie
43,Sexe (%) - Masculin,Sexe (%) - Masculin,demography,Sexe (%) - Masculin. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Sexe (%) - Masculin,territoire_id,Sexe — Masculin,Démographie
44,Âge moyen singulier au mariage,Âge moyen singulier au mariage,demography,Âge moyen singulier au mariage. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],ans,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge moyen singulier au mariage,territoire_id,Âge moyen singulier au mariage,Démographie
45,Âge quinquennal (%) - 0-4 ans,Âge quinquennal (%) - 0-4 ans,demography,Âge quinquennal (%) - 0-4 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 0-4 ans,territoire_id,Âge quinquennal — 0-4 ans,Démographie
46,Âge quinquennal (%) - 10-14 ans,Âge quinquennal (%) - 10-14 ans,demography,Âge quinquennal (%) - 10-14 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 10-14 ans,territoire_id,Âge quinquennal — 10-14 ans,Démographie
47,Âge quinquennal (%) - 15-19 ans,Âge quinquennal (%) - 15-19 ans,demography,Âge quinquennal (%) - 15-19 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 15-19 ans,territoire_id,Âge quinquennal — 15-19 ans,Démographie
48,Âge quinquennal (%) - 20-24 ans,Âge quinquennal (%) - 20-24 ans,demography,Âge quinquennal (%) - 20-24 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 20-24 ans,territoire_id,Âge quinquennal — 20-24 ans,Démographie
49,Âge quinquennal (%) - 25-29 ans,Âge quinquennal (%) - 25-29 ans,demography,Âge quinquennal (%) - 25-29 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 25-29 ans,territoire_id,Âge quinquennal — 25-29 ans,Démographie
50,Âge quinquennal (%) - 30-34 ans,Âge quinquennal (%) - 30-34 ans,demography,Âge quinquennal (%) - 30-34 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 30-34 ans,territoire_id,Âge quinquennal — 30-34 ans,Démographie
51,Âge quinquennal (%) - 35-39 ans,Âge quinquennal (%) - 35-39 ans,demography,Âge quinquennal (%) - 35-39 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 35-39 ans,territoire_id,Âge quinquennal — 35-39 ans,Démographie
52,Âge quinquennal (%) - 40-44 ans,Âge quinquennal (%) - 40-44 ans,demography,Âge quinquennal (%) - 40-44 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 40-44 ans,territoire_id,Âge quinquennal — 40-44 ans,Démographie
53,Âge quinquennal (%) - 45-49 ans,Âge quinquennal (%) - 45-49 ans,demography,Âge quinquennal (%) - 45-49 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 45-49 ans,territoire_id,Âge quinquennal — 45-49 ans,Démographie
54,Âge quinquennal (%) - 5-9 ans,Âge quinquennal (%) - 5-9 ans,demography,Âge quinquennal (%) - 5-9 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 5-9 ans,territoire_id,Âge quinquennal — 5-9 ans,Démographie
55,Âge quinquennal (%) - 50-54 ans,Âge quinquennal (%) - 50-54 ans,demography,Âge quinquennal (%) - 50-54 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 50-54 ans,territoire_id,Âge quinquennal — 50-54 ans,Démographie
56,Âge quinquennal (%) - 55-59 ans,Âge quinquennal (%) - 55-59 ans,demography,Âge quinquennal (%) - 55-59 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 55-59 ans,territoire_id,Âge quinquennal — 55-59 ans,Démographie
57,Âge quinquennal (%) - 60-64 ans,Âge quinquennal (%) - 60-64 ans,demography,Âge quinquennal (%) - 60-64 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 60-64 ans,territoire_id,Âge quinquennal — 60-64 ans,Démographie
58,Âge quinquennal (%) - 65-69 ans,Âge quinquennal (%) - 65-69 ans,demography,Âge quinquennal (%) - 65-69 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 65-69 ans,territoire_id,Âge quinquennal — 65-69 ans,Démographie
59,Âge quinquennal (%) - 70-74 ans,Âge quinquennal (%) - 70-74 ans,demography,Âge quinquennal (%) - 70-74 ans. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 70-74 ans,territoire_id,Âge quinquennal — 70-74 ans,Démographie
60,Âge quinquennal (%) - 75 ans ou plus,Âge quinquennal (%) - 75 ans ou plus,demography,Âge quinquennal (%) - 75 ans ou plus. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 75 ans ou plus,territoire_id,Âge quinquennal — 75 ans ou plus,Démographie
61,État matrimonial des 15 ans et plus (%) - Célibataire,État matrimonial des 15 ans et plus (%) - Célibataire,demography,État matrimonial des 15 ans et plus (%) - Célibataire. Thème : demography. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,État matrimonial des 15 ans et plus (%) - Célibataire,territoire_id,État matrimonial des 15 ans et plus — Célibataire,Démographie
