indicateur_id,nom_indicateur,nom_origine,theme,definition,unite,source,annee,statut,table_pg,mode_stockage,colonne_valeur,filtre_indicateur,colonne_territoire,libelle_court,secteur,dispo_province,dispo_commune,sens,mots_cles
11,La base de donn es excel de la migration — sorties,sorties,demography,"Nombre de personnes nées dans le territoire et résidant ailleurs, au Maroc ou à l'étranger, au moment du recensement. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",personnes,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration_,long,valeur,sorties,territoire_id,Sorties migratoires (durée de vie),Démographie,True,True,neutre,
12,La base de donn es excel de la migration 2 — entrees,entrees,demography,"Nombre de personnes résidant dans le territoire au recensement et qui résidaient dans une autre zone, au Maroc ou à l'étranger, cinq ans auparavant. Ce sont les migrants récents. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",personnes,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,entrees,territoire_id,Entrées migratoires (5 dernières années),Démographie,True,True,neutre,
13,La base de donn es excel de la migration 2 — indice_entrees (%),indice_entrees (%),demography,"Part des entrées des cinq dernières années dans la population sédentaire de 5 ans et plus du territoire. Attention : l'indice de sorties à cinq ans n'a pas le même dénominateur — il est rapporté à la population qui résidait dans le territoire cinq ans auparavant. Les deux indices ne se soustraient pas. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",%,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,indice_entrees (%),territoire_id,Indice d'entrées migratoires (5 ans),Démographie,True,True,neutre,
14,La base de donn es excel de la migration 2 — indice_sortie (%),indice_sortie (%),demography,"Part des sorties des cinq dernières années dans la population qui résidait dans le territoire cinq ans auparavant. Attention : l'indice d'entrées à cinq ans n'a pas le même dénominateur — il est rapporté à la population sédentaire de 5 ans et plus. Les deux indices ne se soustraient pas. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",%,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,indice_sortie (%),territoire_id,Indice de sorties migratoires (5 ans),Démographie,True,True,neutre,
15,La base de donn es excel de la migration 2 — natifs_residents_non_migrants,natifs_residents_non_migrants,demography,"Nombre de personnes résidant dans le territoire au recensement et qui y résidaient déjà cinq ans auparavant : les non-migrants récents. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",hab,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,natifs_residents_non_migrants,territoire_id,Résidents non migrants (5 ans),Démographie,True,True,neutre,
16,population_sedentaire_5ans_plus,population_sedentaire_5ans_plus,demography,"Population sédentaire du territoire restreinte aux personnes de 5 ans et plus, seules interrogées sur leur résidence cinq ans auparavant. Elle sert de dénominateur à l'indice d'entrées des cinq dernières années. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",hab,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,population_sedentaire_5ans_plus,territoire_id,Population sédentaire de 5 ans et plus,Démographie,True,True,neutre,
17,residents_recents_5ans,residents_recents_5ans,demography,"Effectif qui résidait dans le territoire cinq ans avant le recensement : les non-migrants récents, auxquels s'ajoutent les personnes parties depuis. Sert de dénominateur à l'indice de sorties des cinq dernières années. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",hab,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,residents_recents_5ans,territoire_id,Population résidente 5 ans auparavant,Démographie,True,True,neutre,
18,La base de donn es excel de la migration 2 — sorties,sorties,demography,"Nombre de personnes qui résidaient dans le territoire cinq ans avant le recensement et vivaient ailleurs, au Maroc ou à l'étranger, au moment du recensement. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",personnes,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,sorties,territoire_id,Sorties migratoires (5 dernières années),Démographie,True,True,neutre,
19,La base de donn es excel de la migration 3 — entrees,entrees,demography,"Nombre de personnes résidant dans le territoire au recensement et qui résidaient dans une autre zone, au Maroc ou à l'étranger, dix ans auparavant. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",personnes,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,entrees,territoire_id,Entrées migratoires (10 dernières années),Démographie,True,True,neutre,
20,La base de donn es excel de la migration 3 — indice_entrees (%),indice_entrees (%),demography,"Part des entrées des dix dernières années dans la population sédentaire de 10 ans et plus du territoire. Attention : l'indice de sorties à dix ans n'a pas le même dénominateur — il est rapporté à la population qui résidait dans le territoire dix ans auparavant. Les deux indices ne se soustraient pas. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",%,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,indice_entrees (%),territoire_id,Indice d'entrées migratoires (10 ans),Démographie,True,True,neutre,
21,La base de donn es excel de la migration 3 — indice_sortie (%),indice_sortie (%),demography,"Part des sorties des dix dernières années dans la population qui résidait dans le territoire dix ans auparavant. Attention : l'indice d'entrées à dix ans n'a pas le même dénominateur — il est rapporté à la population sédentaire de 10 ans et plus. Les deux indices ne se soustraient pas. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",%,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,indice_sortie (%),territoire_id,Indice de sorties migratoires (10 ans),Démographie,True,True,neutre,
22,La base de donn es excel de la migration 3 — natifs_residents_non_migrants,natifs_residents_non_migrants,demography,"Nombre de personnes résidant dans le territoire au recensement et qui y résidaient déjà dix ans auparavant. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",hab,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,natifs_residents_non_migrants,territoire_id,Résidents non migrants (10 ans),Démographie,True,True,neutre,
23,La base de donn es excel de la migration 3 — population_sedentaire,population_sedentaire,demography,"Population sédentaire du territoire restreinte aux personnes de 10 ans et plus, seules interrogées sur leur résidence dix ans auparavant. Elle sert de dénominateur à l'indice d'entrées des dix dernières années. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",hab,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,population_sedentaire,territoire_id,Population sédentaire de 10 ans et plus,Démographie,True,True,neutre,
24,residents_recents_10ans,residents_recents_10ans,demography,"Effectif qui résidait dans le territoire dix ans avant le recensement : les non-migrants, auxquels s'ajoutent les personnes parties depuis. Sert de dénominateur à l'indice de sorties des dix dernières années. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",hab,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,residents_recents_10ans,territoire_id,Population résidente 10 ans auparavant,Démographie,True,True,neutre,
25,La base de donn es excel de la migration 3 — sorties,sorties,demography,"Nombre de personnes qui résidaient dans le territoire dix ans avant le recensement et vivaient ailleurs, au Maroc ou à l'étranger, au moment du recensement. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",personnes,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,sorties,territoire_id,Sorties migratoires (10 dernières années),Démographie,True,True,neutre,
26,effectif_migrants_internationaux,effectif_migrants_internationaux,demography,"Nombre de personnes résidant dans le territoire au recensement et ayant déjà résidé à l'étranger. Il ne renseigne pas la nationalité, et ne se limite pas aux personnes nées à l'étranger : une personne née au Maroc, partie puis revenue, y figure. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",personnes,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__4,long,valeur,effectif_migrants_internationaux,territoire_id,Migrants internationaux,Démographie,True,True,neutre,
27,Ages mariage handicap — Descendance finale des femmes,Descendance finale des femmes,demography,Ages mariage handicap — Descendance finale des femmes. Thème : demography. [Traçabilité : source RGPH 2024.],,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_ages_mariage_handicap,long,valeur,Descendance finale des femmes,territoire_id,Ages mariage handicap — Descendance finale des femmes,non cartographiable,False,False,bas_mieux,
28,Indice Synthétique de fécondité,Indice Synthétique de fécondité,demography,Indice Synthétique de fécondité. Thème : demography. [Traçabilité : source RGPH 2024.],,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_ages_mariage_handicap,long,valeur,Indice Synthétique de fécondité,territoire_id,Indice Synthétique de fécondité,non cartographiable,False,False,neutre,
29,Ages mariage handicap — Population de 15 ans et plus,Population de 15 ans et plus,demography,Ages mariage handicap — Population de 15 ans et plus. Thème : demography. [Traçabilité : source RGPH 2024.],hab,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_ages_mariage_handicap,long,valeur,Population de 15 ans et plus,territoire_id,Ages mariage handicap — Population de 15 ans et plus,non cartographiable,False,False,neutre,
30,Taux de couverture médicale (%),Taux de couverture médicale (%),demography,Taux de couverture médicale (%). Thème : demography. [Traçabilité : source RGPH 2024.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_ages_mariage_handicap,long,valeur,Taux de couverture médicale (%),territoire_id,Taux de couverture médicale,non cartographiable,False,False,,
32,Taux de prévalence du handicap par groupes d'âges (%),Taux de prévalence du handicap par groupes d'âges (%),demography,Taux de prévalence du handicap par groupes d'âges (%). Thème : demography. [Traçabilité : source RGPH 2024.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_ages_mariage_handicap,long,valeur,Taux de prévalence du handicap par groupes d'âges (%),territoire_id,Taux de prévalence du handicap par groupes d'âges,non cartographiable,False,False,bas_mieux,
33,Âge moyen au premier mariage,Âge moyen au premier mariage,demography,Âge moyen au premier mariage. Thème : demography. [Traçabilité : source RGPH 2024.],,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_ages_mariage_handicap,long,valeur,Âge moyen au premier mariage,territoire_id,Âge moyen au premier mariage,non cartographiable,False,False,neutre,
34,État matrimonial des 15 ans et plus (%),État matrimonial des 15 ans et plus (%),demography,État matrimonial des 15 ans et plus (%). Thème : demography. [Traçabilité : source RGPH 2024.],%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_ages_mariage_handicap,long,valeur,État matrimonial des 15 ans et plus (%),territoire_id,État matrimonial des 15 ans et plus,non cartographiable,False,False,neutre,
35,Population rgph2024 population demogra — Descendance finale des femmes,Descendance finale des femmes,demography,"Nombre moyen d'enfants effectivement mis au monde par les femmes ayant achevé leur vie féconde. Contrairement à l'indicateur conjoncturel de fécondité, celui-ci porte sur des générations réelles et se rapporte donc au passé. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.]",enfants/femme,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Descendance finale des femmes,territoire_id,Descendance finale des femmes,Démographie,True,True,neutre,
36,Indicateur conjoncturel de fécondité,Indicateur conjoncturel de fécondité,demography,"Nombre moyen d'enfants qu'aurait une femme au terme de sa vie féconde si elle connaissait, à chaque âge, les taux de fécondité observés l'année du recensement. Indicateur du moment, portant sur une génération fictive : il décrit une conjoncture, non la descendance réellement atteinte par une génération de femmes. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.]",enfants/femme,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Indicateur conjoncturel de fécondité,territoire_id,Indicateur conjoncturel de fécondité,Démographie,True,True,neutre,
37,Population rgph2024 population demogra — Population de 10 ans et plus,Population de 10 ans et plus,demography,Effectif de la population âgée de 10 ans et plus. Sert de dénominateur aux indicateurs d'alphabétisation et de scolarisation. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.],hab,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Population de 10 ans et plus,territoire_id,Population de 10 ans et plus,Démographie,True,True,neutre,
38,Population rgph2024 population demogra — Population de 15 ans et plus,Population de 15 ans et plus,demography,"Effectif de la population âgée de 15 ans et plus. Sert de dénominateur aux indicateurs d'activité, de chômage et d'état matrimonial. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.]",hab,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Population de 15 ans et plus,territoire_id,Population de 15 ans et plus,Démographie,True,True,neutre,
39,Population rgph2024 population demogra — Population de 7-12 ans,Population de 7-12 ans,demography,"Effectif de la population âgée de 7 à 12 ans, tranche correspondant à l'âge théorique de la scolarité primaire. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.]",hab,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Population de 7-12 ans,territoire_id,Population de 7 à 12 ans,Démographie,True,True,neutre,
40,Population légale,Population légale,demography,"Effectif officiel de la population d'un territoire au recensement, seule référence opposable pour les usages administratifs. Elle additionne la population municipale et la population comptée à part, c'est-à-dire les personnes rattachées au territoire mais résidant dans une collectivité : casernes, internats, établissements de soins de longue durée. Elle ne mesure pas le nombre de personnes présentes un jour donné : un recensement compte les résidents habituels, non les présents. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.] Renommé : le « 2025 » venait du nom du fichier source, pas de la donnée — les valeurs sont identiques à celles du millésime 2024 sur les 9 territoires communs. Cet identifiant est conservé car lui seul descend au niveau communal.",hab,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,validé,demography_demography_population_rgph2024_population_demogra,long,valeur,Population légale,territoire_id,Population légale (2024),Démographie,True,True,neutre,population habitants
41,Population municipale,Population municipale,demography,"Population résidant habituellement dans les ménages et les collectivités du territoire, à l'exclusion des personnes comptées à part. C'est la composante principale de la population légale, dont elle diffère de quelques milliers de personnes à l'échelle régionale. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.]",hab,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Population municipale,territoire_id,Population municipale,Démographie,True,True,neutre,
42,Sexe (%) - Féminin,Sexe (%) - Féminin,demography,"Répartition de la population par sexe, en pourcentage de l'effectif total du territoire. Les deux parts se complètent à cent. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.]",%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Sexe (%) - Féminin,territoire_id,Sexe — Féminin,Démographie,True,True,neutre,
43,Sexe (%) - Masculin,Sexe (%) - Masculin,demography,"Répartition de la population par sexe, en pourcentage de l'effectif total du territoire. Les deux parts se complètent à cent. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.]",%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Sexe (%) - Masculin,territoire_id,Sexe — Masculin,Démographie,True,True,neutre,
44,Âge moyen singulier au mariage,Âge moyen singulier au mariage,demography,"Âge moyen au premier mariage, estimé à partir des proportions de célibataires observées à chaque âge. Il s'agit d'une construction statistique portant sur une génération fictive : ce n'est pas la moyenne des âges des personnes mariées au cours de l'année. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.]",ans,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge moyen singulier au mariage,territoire_id,Âge moyen singulier au mariage,Démographie,True,True,neutre,
45,Âge quinquennal (%) - 0-4 ans,Âge quinquennal (%) - 0-4 ans,demography,"Répartition de la population par groupe d'âges de cinq ans, en pourcentage de l'effectif total. L'ensemble des groupes se complète à cent, et leur profil dessine la pyramide des âges du territoire. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.]",%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 0-4 ans,territoire_id,Âge quinquennal — 0-4 ans,Démographie,True,True,neutre,
46,Âge quinquennal (%) - 10-14 ans,Âge quinquennal (%) - 10-14 ans,demography,"Répartition de la population par groupe d'âges de cinq ans, en pourcentage de l'effectif total. L'ensemble des groupes se complète à cent, et leur profil dessine la pyramide des âges du territoire. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.]",%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 10-14 ans,territoire_id,Âge quinquennal — 10-14 ans,Démographie,True,True,neutre,
47,Âge quinquennal (%) - 15-19 ans,Âge quinquennal (%) - 15-19 ans,demography,"Répartition de la population par groupe d'âges de cinq ans, en pourcentage de l'effectif total. L'ensemble des groupes se complète à cent, et leur profil dessine la pyramide des âges du territoire. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.]",%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 15-19 ans,territoire_id,Âge quinquennal — 15-19 ans,Démographie,True,True,neutre,
48,Âge quinquennal (%) - 20-24 ans,Âge quinquennal (%) - 20-24 ans,demography,"Répartition de la population par groupe d'âges de cinq ans, en pourcentage de l'effectif total. L'ensemble des groupes se complète à cent, et leur profil dessine la pyramide des âges du territoire. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.]",%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 20-24 ans,territoire_id,Âge quinquennal — 20-24 ans,Démographie,True,True,neutre,
49,Âge quinquennal (%) - 25-29 ans,Âge quinquennal (%) - 25-29 ans,demography,"Répartition de la population par groupe d'âges de cinq ans, en pourcentage de l'effectif total. L'ensemble des groupes se complète à cent, et leur profil dessine la pyramide des âges du territoire. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.]",%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 25-29 ans,territoire_id,Âge quinquennal — 25-29 ans,Démographie,True,True,neutre,
50,Âge quinquennal (%) - 30-34 ans,Âge quinquennal (%) - 30-34 ans,demography,"Répartition de la population par groupe d'âges de cinq ans, en pourcentage de l'effectif total. L'ensemble des groupes se complète à cent, et leur profil dessine la pyramide des âges du territoire. [Traçabilité : vérifié : 441/441 valeurs concordantes avec la source HCP.]",%,RGPH 2024 — Recensement Général de la Population et de l'Habitat (HCP). https://resultats2024.rgphapps.ma/,2024,actif,demography_demography_population_rgph2024_population_demogra,long,valeur,Âge quinquennal (%) - 30-34 ans,territoire_id,Âge quinquennal — 30-34 ans,Démographie,True,True,neutre,
